dataset,distance,cmp,acc,train_duration,test_duration
ECG200,uncertain_ed,simple_cmp,0.84,644.07,42.21
TwoLeadECG,uncertain_ed,simple_cmp,0.9288849868305531,643.47,880.54
ECGFiveDays,uncertain_ed,simple_cmp,0.9396051103368177,666.54,1550.86
ItalyPowerDemand,uncertain_ed,simple_cmp,0.8726919339164237,629.65,365.26
SonyAIBORobotSurface2,uncertain_ed,simple_cmp,0.8656873032528857,636.59,785.0
SonyAIBORobotSurface1,uncertain_ed,simple_cmp,0.8019966722129783,626.33,520.81
Plane,uncertain_ed,simple_cmp,0.9619047619047619,650.39,34.12
Trace,uncertain_ed,simple_cmp,0.96,618.94,21.26
DodgerLoopWeekend,uncertain_ed,simple_cmp,0.6086956521739131,655.31,306.06
DodgerLoopGame,uncertain_ed,simple_cmp,0.5652173913043478,682.87,488.67
DodgerLoopDay,uncertain_ed,simple_cmp,0.4,643.45,55.11
SmoothSubspace,uncertain_ed,simple_cmp,0.74,616.13,17.62
BME,uncertain_ed,simple_cmp,0.7066666666666667,650.05,225.1
CBF,uncertain_ed,simple_cmp,0.92,664.5,1062.97
UMD,uncertain_ed,simple_cmp,0.9791666666666666,652.53,171.93
SyntheticControl,uncertain_ed,simple_cmp,0.8333333333333334,625.14,25.83
ShapeletSim,uncertain_ed,simple_cmp,0.9833333333333333,652.41,298.73
Chinatown,uncertain_ed,simple_cmp,0.9620991253644315,605.22,66.45
ECG200,uncertain_ed,cdf_cmp,0.78,636.54,32.26
TwoLeadECG,uncertain_ed,cdf_cmp,0.9288849868305531,632.72,957.14
ECGFiveDays,uncertain_ed,cdf_cmp,0.9953542392566783,673.15,1502.16
ItalyPowerDemand,uncertain_ed,cdf_cmp,0.9047619047619048,634.3,412.91
SonyAIBORobotSurface2,uncertain_ed,cdf_cmp,0.8866736621196223,642.05,721.86
SonyAIBORobotSurface1,uncertain_ed,cdf_cmp,0.870216306156406,630.61,563.25
Plane,uncertain_ed,cdf_cmp,0.9619047619047619,650.69,46.41
Trace,uncertain_ed,cdf_cmp,0.96,625.83,22.38
DodgerLoopWeekend,uncertain_ed,cdf_cmp,0.6086956521739131,653.67,290.6
DodgerLoopGame,uncertain_ed,cdf_cmp,0.6811594202898551,673.87,500.71
DodgerLoopDay,uncertain_ed,cdf_cmp,0.4,652.01,52.17
SmoothSubspace,uncertain_ed,cdf_cmp,0.74,625.76,21.78
BME,uncertain_ed,cdf_cmp,0.8133333333333334,651.14,200.98
