dataset,distance,cmp,acc,train_duration,test_duration
ECG200,uncertain_ed,simple_cmp,0.75,623.24,22.56
TwoLeadECG,uncertain_ed,simple_cmp,0.746268656716418,662.74,1538.94
ECGFiveDays,uncertain_ed,simple_cmp,0.9419279907084785,681.97,1553.66
ItalyPowerDemand,uncertain_ed,simple_cmp,0.9125364431486881,634.02,402.77
SonyAIBORobotSurface2,uncertain_ed,simple_cmp,0.8467995802728226,640.95,763.95
SonyAIBORobotSurface1,uncertain_ed,simple_cmp,0.7886855241264559,632.56,517.83
Plane,uncertain_ed,simple_cmp,0.8952380952380953,641.22,41.47
Trace,uncertain_ed,simple_cmp,0.71,636.7,37.17
DodgerLoopWeekend,uncertain_ed,simple_cmp,0.8840579710144928,631.33,250.1
DodgerLoopGame,uncertain_ed,simple_cmp,0.6159420289855072,672.59,361.67
DodgerLoopDay,uncertain_ed,simple_cmp,0.3,635.27,41.34
SmoothSubspace,uncertain_ed,simple_cmp,0.7133333333333334,620.07,19.63
BME,uncertain_ed,simple_cmp,0.6466666666666666,638.25,236.41
CBF,uncertain_ed,simple_cmp,0.8888888888888888,677.81,1351.43
UMD,uncertain_ed,simple_cmp,0.8819444444444444,644.14,172.93
SyntheticControl,uncertain_ed,simple_cmp,0.74,628.63,25.28
ShapeletSim,uncertain_ed,simple_cmp,0.9444444444444444,673.56,438.58
Chinatown,uncertain_ed,simple_cmp,0.8833819241982507,604.56,58.87
ECG200,uncertain_ed,cdf_cmp,0.75,615.52,14.51
TwoLeadECG,uncertain_ed,cdf_cmp,0.746268656716418,626.86,1117.67
ECGFiveDays,uncertain_ed,cdf_cmp,0.9372822299651568,662.61,1323.47
ItalyPowerDemand,uncertain_ed,cdf_cmp,0.9008746355685131,633.09,406.45
SonyAIBORobotSurface2,uncertain_ed,cdf_cmp,0.7785939139559287,639.29,736.49
SonyAIBORobotSurface1,uncertain_ed,cdf_cmp,0.7886855241264559,632.22,518.3
Plane,uncertain_ed,cdf_cmp,0.9047619047619048,636.08,32.24
Trace,uncertain_ed,cdf_cmp,0.71,643.36,36.62
DodgerLoopWeekend,uncertain_ed,cdf_cmp,0.8840579710144928,655.71,296.99
DodgerLoopGame,uncertain_ed,cdf_cmp,0.5,674.53,452.23
DodgerLoopDay,uncertain_ed,cdf_cmp,0.3,646.79,49.22
