dataset,distance,cmp,acc,train_duration,test_duration
ECG200,uncertain_ed,simple_cmp,0.77,616.89,15.17
TwoLeadECG,uncertain_ed,simple_cmp,0.8700614574187884,623.76,784.46
ECGFiveDays,uncertain_ed,simple_cmp,0.9790940766550522,671.45,1500.73
ItalyPowerDemand,uncertain_ed,simple_cmp,0.9135082604470359,624.82,342.48
SonyAIBORobotSurface2,uncertain_ed,simple_cmp,0.9003147953830011,641.83,842.42
SonyAIBORobotSurface1,uncertain_ed,simple_cmp,0.8818635607321131,629.7,532.42
Plane,uncertain_ed,simple_cmp,0.8571428571428571,640.89,33.88
Trace,uncertain_ed,simple_cmp,0.99,651.44,43.11
DodgerLoopWeekend,uncertain_ed,simple_cmp,0.8043478260869565,655.67,306.84
DodgerLoopGame,uncertain_ed,simple_cmp,0.717391304347826,663.39,322.53
DodgerLoopDay,uncertain_ed,simple_cmp,0.45,624.96,35.4
SmoothSubspace,uncertain_ed,simple_cmp,0.6266666666666667,622.92,22.53
BME,uncertain_ed,simple_cmp,0.62,657.09,255.46
CBF,uncertain_ed,simple_cmp,0.8588888888888889,652.7,974.16
UMD,uncertain_ed,simple_cmp,0.9236111111111112,658.75,208.32
SyntheticControl,uncertain_ed,simple_cmp,0.8166666666666667,629.82,22.12
ShapeletSim,uncertain_ed,simple_cmp,0.9833333333333333,665.84,395.42
Chinatown,uncertain_ed,simple_cmp,0.9650145772594753,606.15,63.56
ECG200,uncertain_ed,cdf_cmp,0.77,624.82,25.04
TwoLeadECG,uncertain_ed,cdf_cmp,0.8138718173836699,657.66,1339.07
ECGFiveDays,uncertain_ed,cdf_cmp,0.9872241579558653,667.79,1242.29
ItalyPowerDemand,uncertain_ed,cdf_cmp,0.8688046647230321,630.48,338.16
SonyAIBORobotSurface2,uncertain_ed,cdf_cmp,0.8457502623294858,650.95,946.48
SonyAIBORobotSurface1,uncertain_ed,cdf_cmp,0.8069883527454242,628.85,601.12
Plane,uncertain_ed,cdf_cmp,0.8571428571428571,633.22,40.36
Trace,uncertain_ed,cdf_cmp,0.99,662.35,66.45
DodgerLoopWeekend,uncertain_ed,cdf_cmp,0.8043478260869565,657.16,300.1
DodgerLoopGame,uncertain_ed,cdf_cmp,0.7681159420289855,661.01,360.4
