dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,GNB,0.69,630.77,31.42
TwoLeadECG,hellinger_based_distance,simple_cmp,GNB,0.5961369622475856,636.69,1161.13
ECGFiveDays,hellinger_based_distance,simple_cmp,GNB,0.6515679442508711,682.15,2499.26
ItalyPowerDemand,hellinger_based_distance,simple_cmp,GNB,0.7084548104956269,636.51,509.97
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,GNB,0.5540398740818469,629.21,719.89
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,GNB,0.519134775374376,629.71,709.57
Plane,hellinger_based_distance,simple_cmp,GNB,0.6571428571428571,615.56,18.73
Trace,hellinger_based_distance,simple_cmp,GNB,0.46,624.23,34.52
SmoothSubspace,hellinger_based_distance,simple_cmp,GNB,0.4533333333333333,626.45,26.96
BME,hellinger_based_distance,simple_cmp,GNB,0.5133333333333333,637.39,172.68
CBF,hellinger_based_distance,simple_cmp,GNB,0.7355555555555555,653.56,1214.42
UMD,hellinger_based_distance,simple_cmp,GNB,0.5486111111111112,634.55,134.26
SyntheticControl,hellinger_based_distance,simple_cmp,GNB,0.46,617.01,18.32
ShapeletSim,hellinger_based_distance,simple_cmp,GNB,0.4722222222222222,647.42,397.62
Chinatown,hellinger_based_distance,simple_cmp,GNB,0.7055393586005831,605.64,82.1
ECG200,jensen_shannon_distance,simple_cmp,GNB,0.63,626.46,30.38
TwoLeadECG,jensen_shannon_distance,simple_cmp,GNB,0.5794556628621598,639.72,1280.59
ECGFiveDays,jensen_shannon_distance,simple_cmp,GNB,0.6178861788617886,681.16,2301.14
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,GNB,0.652089407191448,637.91,545.16
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,GNB,0.5236096537250787,635.11,945.57
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,GNB,0.4425956738768719,621.03,471.95
Plane,jensen_shannon_distance,simple_cmp,GNB,0.2761904761904762,620.64,23.02
Trace,jensen_shannon_distance,simple_cmp,GNB,0.5,627.32,33.94
SmoothSubspace,jensen_shannon_distance,simple_cmp,GNB,0.4,626.57,27.35
BME,jensen_shannon_distance,simple_cmp,GNB,0.4,643.74,209.23
CBF,jensen_shannon_distance,simple_cmp,GNB,0.7133333333333334,655.95,1239.14
UMD,jensen_shannon_distance,simple_cmp,GNB,0.375,662.43,247.03
SyntheticControl,jensen_shannon_distance,simple_cmp,GNB,0.30666666666666664,623.6,21.54
ShapeletSim,jensen_shannon_distance,simple_cmp,GNB,0.46111111111111114,662.71,446.26
Chinatown,jensen_shannon_distance,simple_cmp,GNB,0.7142857142857143,606.67,94.59
