dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.78,627.75,19.06
TwoLeadECG,ued,simple_cmp,0.6856892010535558,645.16,1249.34
ECGFiveDays,ued,simple_cmp,0.775842044134727,674.23,1936.74
ItalyPowerDemand,ued,simple_cmp,0.9203109815354713,627.4,376.41
SonyAIBORobotSurface2,ued,simple_cmp,0.8268625393494229,625.76,648.45
SonyAIBORobotSurface1,ued,simple_cmp,0.8801996672212978,620.1,416.91
Plane,ued,simple_cmp,0.9619047619047619,618.42,26.22
Trace,ued,simple_cmp,0.87,634.05,32.82
SmoothSubspace,ued,simple_cmp,0.76,619.64,17.7
BME,ued,simple_cmp,0.7066666666666667,642.33,257.23
CBF,ued,simple_cmp,0.9388888888888889,656.82,1166.64
UMD,ued,simple_cmp,0.9097222222222222,653.15,185.01
SyntheticControl,ued,simple_cmp,0.6766666666666666,618.61,26.74
ShapeletSim,ued,simple_cmp,0.6333333333333333,653.48,499.84
Chinatown,ued,simple_cmp,0.9300291545189504,607.47,93.99
ECG200,ued,cdf_cmp,0.82,608.39,19.17
TwoLeadECG,ued,cdf_cmp,0.6865671641791045,662.15,1858.86
ECGFiveDays,ued,cdf_cmp,0.6329849012775842,686.77,1853.95
ItalyPowerDemand,ued,cdf_cmp,0.9125364431486881,617.28,210.73
SonyAIBORobotSurface2,ued,cdf_cmp,0.7628541448058762,638.1,996.29
SonyAIBORobotSurface1,ued,cdf_cmp,0.8535773710482529,629.19,813.17
Plane,ued,cdf_cmp,0.8476190476190476,612.7,20.65
Trace,ued,cdf_cmp,0.63,646.85,47.77
SmoothSubspace,ued,cdf_cmp,0.5866666666666667,602.95,5.58
BME,ued,cdf_cmp,0.64,662.19,309.13
CBF,ued,cdf_cmp,0.8833333333333333,662.03,1314.6
UMD,ued,cdf_cmp,0.7916666666666666,627.06,125.69
SyntheticControl,ued,cdf_cmp,0.21,593.66,11.29
ShapeletSim,ued,cdf_cmp,0.49444444444444446,645.35,440.8
Chinatown,ued,cdf_cmp,0.9096209912536443,612.24,146.33
ECG200,ued,interval_cmp,0.82,616.58,17.01
TwoLeadECG,ued,interval_cmp,0.7085162423178226,656.49,1209.58
ECGFiveDays,ued,interval_cmp,0.7967479674796748,666.11,1782.99
ItalyPowerDemand,ued,interval_cmp,0.9212827988338192,630.42,387.18
SonyAIBORobotSurface2,ued,interval_cmp,0.8268625393494229,632.24,566.58
SonyAIBORobotSurface1,ued,interval_cmp,0.8885191347753744,620.67,451.21
Plane,ued,interval_cmp,0.9619047619047619,619.2,34.87
Trace,ued,interval_cmp,0.87,623.66,27.71
SmoothSubspace,ued,interval_cmp,0.78,622.95,29.69
BME,ued,interval_cmp,0.7066666666666667,655.83,212.07
CBF,ued,interval_cmp,0.9355555555555556,660.72,849.31
UMD,ued,interval_cmp,0.9097222222222222,641.82,142.79
SyntheticControl,ued,interval_cmp,0.7466666666666667,615.42,20.47
ShapeletSim,ued,interval_cmp,0.6666666666666666,661.6,418.36
Chinatown,ued,interval_cmp,0.9271137026239067,604.6,54.53
