dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,RF,0.75,629.24,30.32
TwoLeadECG,hellinger_based_distance,simple_cmp,RF,0.7919227392449517,640.05,1236.13
ECGFiveDays,hellinger_based_distance,simple_cmp,RF,0.8931475029036005,672.56,1831.9
ItalyPowerDemand,hellinger_based_distance,simple_cmp,RF,0.8950437317784257,637.48,486.9
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,RF,0.7796432318992654,621.73,529.43
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,RF,0.7138103161397671,617.87,399.27
Plane,hellinger_based_distance,simple_cmp,RF,0.9047619047619048,622.12,25.17
Trace,hellinger_based_distance,simple_cmp,RF,0.7,618.71,31.68
SmoothSubspace,hellinger_based_distance,simple_cmp,RF,0.74,622.99,23.89
BME,hellinger_based_distance,simple_cmp,RF,0.6733333333333333,643.28,210.65
CBF,hellinger_based_distance,simple_cmp,RF,0.9122222222222223,646.75,1007.09
UMD,hellinger_based_distance,simple_cmp,RF,0.8611111111111112,640.73,169.48
SyntheticControl,hellinger_based_distance,simple_cmp,RF,0.6933333333333334,624.61,25.06
ShapeletSim,hellinger_based_distance,simple_cmp,RF,0.65,654.3,453.54
Chinatown,hellinger_based_distance,simple_cmp,RF,0.892128279883382,605.31,65.14
ECG200,jensen_shannon_distance,simple_cmp,RF,0.7,640.23,49.82
TwoLeadECG,jensen_shannon_distance,simple_cmp,RF,0.6435469710272168,652.13,1621.75
ECGFiveDays,jensen_shannon_distance,simple_cmp,RF,0.6724738675958188,660.12,1789.48
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,RF,0.7852283770651117,639.58,541.37
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,RF,0.6684155299055614,633.38,922.39
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,RF,0.4858569051580699,622.71,556.45
Plane,jensen_shannon_distance,simple_cmp,RF,0.26666666666666666,616.83,22.68
Trace,jensen_shannon_distance,simple_cmp,RF,0.64,639.21,51.15
SmoothSubspace,jensen_shannon_distance,simple_cmp,RF,0.5666666666666667,627.03,30.27
BME,jensen_shannon_distance,simple_cmp,RF,0.46,648.71,225.49
CBF,jensen_shannon_distance,simple_cmp,RF,0.7233333333333334,649.48,1063.19
UMD,jensen_shannon_distance,simple_cmp,RF,0.4166666666666667,652.18,207.84
SyntheticControl,jensen_shannon_distance,simple_cmp,RF,0.27,621.84,23.99
ShapeletSim,jensen_shannon_distance,simple_cmp,RF,0.5222222222222223,646.23,377.52
Chinatown,jensen_shannon_distance,simple_cmp,RF,0.8338192419825073,607.88,99.63
ECG200,ed,simple_cmp,RF,0.8,615.95,15.85
TwoLeadECG,ed,simple_cmp,RF,0.7901668129938543,636.08,1193.87
ECGFiveDays,ed,simple_cmp,RF,0.8501742160278746,667.11,1895.92
ItalyPowerDemand,ed,simple_cmp,RF,0.9222546161321672,628.03,366.0
SonyAIBORobotSurface2,ed,simple_cmp,RF,0.8142707240293809,625.03,621.25
SonyAIBORobotSurface1,ed,simple_cmp,RF,0.8336106489184693,618.37,359.88
Plane,ed,simple_cmp,RF,0.9714285714285714,623.22,25.21
Trace,ed,simple_cmp,RF,0.83,630.0,38.67
SmoothSubspace,ed,simple_cmp,RF,0.7333333333333333,621.44,21.87
BME,ed,simple_cmp,RF,0.8866666666666667,647.3,234.85
CBF,ed,simple_cmp,RF,0.94,647.66,967.76
UMD,ed,simple_cmp,RF,0.9305555555555556,647.97,175.34
SyntheticControl,ed,simple_cmp,RF,0.82,623.48,21.26
ShapeletSim,ed,simple_cmp,RF,0.6888888888888889,663.83,506.32
Chinatown,ed,simple_cmp,RF,0.8717201166180758,604.96,71.35
ECG200,dust_uniform,simple_cmp,RF,0.77,631.78,31.94
TwoLeadECG,dust_uniform,simple_cmp,RF,0.6663740122914837,633.11,1058.58
ECGFiveDays,dust_uniform,simple_cmp,RF,0.7224157955865272,667.59,2721.14
ItalyPowerDemand,dust_uniform,simple_cmp,RF,0.8794946550048591,639.4,540.3
SonyAIBORobotSurface2,dust_uniform,simple_cmp,RF,0.6778593913955928,631.88,739.62
SonyAIBORobotSurface1,dust_uniform,simple_cmp,RF,0.6239600665557404,623.15,527.3
Plane,dust_uniform,simple_cmp,RF,0.819047619047619,627.17,30.53
Trace,dust_uniform,simple_cmp,RF,0.58,651.59,48.27
SmoothSubspace,dust_uniform,simple_cmp,RF,0.64,625.72,25.38
BME,dust_uniform,simple_cmp,RF,0.66,643.89,215.45
CBF,dust_uniform,simple_cmp,RF,0.8922222222222222,648.02,1018.62
UMD,dust_uniform,simple_cmp,RF,0.6666666666666666,643.11,163.92
SyntheticControl,dust_uniform,simple_cmp,RF,0.5433333333333333,619.42,19.33
ShapeletSim,dust_uniform,simple_cmp,RF,0.55,682.11,658.78
Chinatown,dust_uniform,simple_cmp,RF,0.8688046647230321,606.75,97.99
ECG200,dust_normal,simple_cmp,RF,0.74,639.99,38.23
TwoLeadECG,dust_normal,simple_cmp,RF,0.6584723441615452,632.67,1007.6
ECGFiveDays,dust_normal,simple_cmp,RF,0.7317073170731707,665.16,1985.68
ItalyPowerDemand,dust_normal,simple_cmp,RF,0.8620019436345967,651.1,815.92
SonyAIBORobotSurface2,dust_normal,simple_cmp,RF,0.6799580272822665,627.23,693.32
SonyAIBORobotSurface1,dust_normal,simple_cmp,RF,0.6006655574043261,622.13,604.07
Plane,dust_normal,simple_cmp,RF,0.7523809523809524,624.84,21.84
Trace,dust_normal,simple_cmp,RF,0.63,629.42,33.12
SmoothSubspace,dust_normal,simple_cmp,RF,0.62,623.76,23.41
BME,dust_normal,simple_cmp,RF,0.6,637.38,175.33
CBF,dust_normal,simple_cmp,RF,0.8866666666666667,656.89,1041.04
UMD,dust_normal,simple_cmp,RF,0.6319444444444444,661.32,275.75
SyntheticControl,dust_normal,simple_cmp,RF,0.47333333333333333,619.39,18.57
ShapeletSim,dust_normal,simple_cmp,RF,0.5166666666666667,666.18,692.84
Chinatown,dust_normal,simple_cmp,RF,0.9037900874635568,607.89,113.11
ECG200,ued,simple_cmp,RF,0.78,620.49,24.55
TwoLeadECG,ued,simple_cmp,RF,0.7568042142230026,636.0,1715.84
ECGFiveDays,ued,simple_cmp,RF,0.6550522648083623,680.03,1647.77
ItalyPowerDemand,ued,simple_cmp,RF,0.9222546161321672,628.84,370.25
SonyAIBORobotSurface2,ued,simple_cmp,RF,0.8090241343126967,635.1,1479.61
SonyAIBORobotSurface1,ued,simple_cmp,RF,0.8202995008319468,620.32,516.9
Plane,ued,simple_cmp,RF,0.9523809523809523,644.78,57.75
Trace,ued,simple_cmp,RF,0.88,635.17,34.66
SmoothSubspace,ued,simple_cmp,RF,0.7133333333333334,624.28,28.9
BME,ued,simple_cmp,RF,0.9,684.64,377.24
CBF,ued,simple_cmp,RF,0.9322222222222222,678.58,1429.25
UMD,ued,simple_cmp,RF,0.9513888888888888,654.69,232.76
SyntheticControl,ued,simple_cmp,RF,0.67,621.25,37.85
ShapeletSim,ued,simple_cmp,RF,0.5666666666666667,664.77,774.32
Chinatown,ued,simple_cmp,RF,0.8892128279883382,610.2,171.02
ECG200,fots,simple_cmp,RF,0.85,7556.89,431.78
TwoLeadECG,fots,simple_cmp,RF,0.7585601404741001,7351.92,5451.61
ECGFiveDays,fots,simple_cmp,RF,0.8002322880371661,7449.47,13527.74
ItalyPowerDemand,fots,simple_cmp,RF,0.8104956268221575,7247.83,687.44
SonyAIBORobotSurface2,fots,simple_cmp,RF,0.7922350472193075,7318.38,5688.92
SonyAIBORobotSurface1,fots,simple_cmp,RF,0.5840266222961731,7274.69,806.4
Plane,fots,simple_cmp,RF,0.8571428571428571,7658.81,656.13
Trace,fots,simple_cmp,RF,0.69,7282.09,528.27
SmoothSubspace,fots,simple_cmp,RF,0.4666666666666667,7396.51,202.47
BME,fots,simple_cmp,RF,0.6066666666666667,7841.63,2808.64
CBF,fots,simple_cmp,RF,0.8888888888888888,7709.1,12998.18
UMD,fots,simple_cmp,RF,0.4305555555555556,7481.46,1130.13
SyntheticControl,fots,simple_cmp,RF,0.5066666666666667,7656.01,431.33
ShapeletSim,fots,simple_cmp,RF,0.7944444444444444,7583.98,4054.77
Chinatown,fots,simple_cmp,RF,0.5539358600583091,7220.38,294.91
