dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.65,626.51,36.17
TwoLeadECG,ued,simple_cmp,0.5030728709394205,663.07,1749.61
ECGFiveDays,ued,simple_cmp,0.562137049941928,682.93,2600.75
ItalyPowerDemand,ued,simple_cmp,0.5724003887269193,641.9,538.57
SonyAIBORobotSurface2,ued,simple_cmp,0.6096537250786989,643.86,849.61
SonyAIBORobotSurface1,ued,simple_cmp,0.454242928452579,622.5,453.63
Plane,ued,simple_cmp,0.49523809523809526,616.88,23.02
Trace,ued,simple_cmp,0.42,619.51,29.45
SmoothSubspace,ued,simple_cmp,0.32,622.68,20.6
BME,ued,simple_cmp,0.4666666666666667,636.72,191.25
CBF,ued,simple_cmp,0.5877777777777777,652.0,1305.25
UMD,ued,simple_cmp,0.625,648.3,173.7
SyntheticControl,ued,simple_cmp,0.44333333333333336,613.58,13.79
ShapeletSim,ued,simple_cmp,0.46111111111111114,666.53,491.68
Chinatown,ued,simple_cmp,0.6793002915451894,605.7,52.77
ECG200,ued,cdf_cmp,0.76,621.11,15.7
TwoLeadECG,ued,cdf_cmp,0.5013169446883231,679.82,2991.09
ECGFiveDays,ued,cdf_cmp,0.5005807200929152,676.03,2467.72
ItalyPowerDemand,ued,cdf_cmp,0.6598639455782312,617.12,219.37
SonyAIBORobotSurface2,ued,cdf_cmp,0.6075550891920252,644.84,1356.45
SonyAIBORobotSurface1,ued,cdf_cmp,0.5690515806988353,641.32,821.06
Plane,ued,cdf_cmp,0.41904761904761906,609.91,25.46
Trace,ued,cdf_cmp,0.36,645.21,41.07
SmoothSubspace,ued,cdf_cmp,0.36,596.73,4.65
BME,ued,cdf_cmp,0.4066666666666667,648.53,192.87
CBF,ued,cdf_cmp,0.45,678.58,1441.62
UMD,ued,cdf_cmp,0.5763888888888888,639.91,161.9
SyntheticControl,ued,cdf_cmp,0.18,615.77,12.36
ShapeletSim,ued,cdf_cmp,0.4888888888888889,645.49,288.49
Chinatown,ued,cdf_cmp,0.6355685131195336,608.31,142.14
ECG200,ued,interval_cmp,0.72,628.02,29.67
TwoLeadECG,ued,interval_cmp,0.504828797190518,642.76,1578.81
ECGFiveDays,ued,interval_cmp,0.5435540069686411,703.76,2099.76
ItalyPowerDemand,ued,interval_cmp,0.5714285714285714,633.54,481.4
SonyAIBORobotSurface2,ued,interval_cmp,0.6054564533053515,633.8,840.88
SonyAIBORobotSurface1,ued,interval_cmp,0.4559068219633943,623.44,421.54
Plane,ued,interval_cmp,0.49523809523809526,613.55,15.91
Trace,ued,interval_cmp,0.42,615.38,27.76
SmoothSubspace,ued,interval_cmp,0.32,618.95,24.81
BME,ued,interval_cmp,0.4533333333333333,649.57,175.62
CBF,ued,interval_cmp,0.5855555555555556,665.26,1227.6
UMD,ued,interval_cmp,0.6111111111111112,637.78,171.24
SyntheticControl,ued,interval_cmp,0.4066666666666667,629.41,16.86
ShapeletSim,ued,interval_cmp,0.46111111111111114,658.76,512.18
Chinatown,ued,interval_cmp,0.6793002915451894,603.85,60.03
ECG200,dust_uniform,simple_cmp,0.68,640.1,46.96
TwoLeadECG,dust_uniform,simple_cmp,0.5987708516242318,646.99,1183.02
ECGFiveDays,dust_uniform,simple_cmp,0.5505226480836237,670.99,1869.95
ItalyPowerDemand,dust_uniform,simple_cmp,0.6637512147716229,639.13,571.65
SonyAIBORobotSurface2,dust_uniform,simple_cmp,0.6442812172088143,629.23,882.88
SonyAIBORobotSurface1,dust_uniform,simple_cmp,0.4525790349417637,636.35,571.58
Plane,dust_uniform,simple_cmp,0.4857142857142857,617.28,23.4
Trace,dust_uniform,simple_cmp,0.48,620.94,37.47
SmoothSubspace,dust_uniform,simple_cmp,0.4533333333333333,617.43,22.52
BME,dust_uniform,simple_cmp,0.44,652.68,276.31
CBF,dust_uniform,simple_cmp,0.7822222222222223,659.36,1015.65
UMD,dust_uniform,simple_cmp,0.4513888888888889,634.45,141.7
SyntheticControl,dust_uniform,simple_cmp,0.49,616.48,21.46
ShapeletSim,dust_uniform,simple_cmp,0.4888888888888889,657.04,359.26
Chinatown,dust_uniform,simple_cmp,0.6997084548104956,607.75,144.56
ECG200,dust_normal,simple_cmp,0.63,663.5,43.84
TwoLeadECG,dust_normal,simple_cmp,0.5961369622475856,650.64,1147.93
ECGFiveDays,dust_normal,simple_cmp,0.5598141695702671,669.02,2035.99
ItalyPowerDemand,dust_normal,simple_cmp,0.6491739552964043,630.63,423.61
SonyAIBORobotSurface2,dust_normal,simple_cmp,0.6159496327387198,639.49,835.94
SonyAIBORobotSurface1,dust_normal,simple_cmp,0.44093178036605657,633.13,581.29
Plane,dust_normal,simple_cmp,0.44761904761904764,625.16,26.57
Trace,dust_normal,simple_cmp,0.53,664.3,63.56
SmoothSubspace,dust_normal,simple_cmp,0.47333333333333333,622.1,31.25
BME,dust_normal,simple_cmp,0.5133333333333333,679.29,293.92
CBF,dust_normal,simple_cmp,0.7355555555555555,658.5,1009.56
UMD,dust_normal,simple_cmp,0.4652777777777778,632.41,120.82
SyntheticControl,dust_normal,simple_cmp,0.39,612.94,12.02
ShapeletSim,dust_normal,simple_cmp,0.55,666.96,501.96
Chinatown,dust_normal,simple_cmp,0.6822157434402333,607.74,122.39
ECG200,ed,simple_cmp,0.66,626.57,36.59
TwoLeadECG,ed,simple_cmp,0.5092186128182616,648.72,1577.36
ECGFiveDays,ed,simple_cmp,0.537746806039489,670.21,1924.32
ItalyPowerDemand,ed,simple_cmp,0.5685131195335277,639.13,446.21
SonyAIBORobotSurface2,ed,simple_cmp,0.6107030430220357,629.27,677.88
SonyAIBORobotSurface1,ed,simple_cmp,0.454242928452579,618.1,400.19
Plane,ed,simple_cmp,0.5523809523809524,623.53,23.33
