dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.72,628.3,27.21
TwoLeadECG,ued,simple_cmp,0.5136084284460053,666.37,2000.3
ECGFiveDays,ued,simple_cmp,0.5354239256678281,680.05,2623.57
ItalyPowerDemand,ued,simple_cmp,0.6783284742468416,639.18,505.41
SonyAIBORobotSurface2,ued,simple_cmp,0.5571878279118573,632.56,657.79
SonyAIBORobotSurface1,ued,simple_cmp,0.47088186356073214,620.27,468.16
Plane,ued,simple_cmp,0.5904761904761905,626.24,20.65
Trace,ued,simple_cmp,0.49,617.99,25.66
SmoothSubspace,ued,simple_cmp,0.41333333333333333,615.72,16.51
BME,ued,simple_cmp,0.4666666666666667,644.78,237.54
CBF,ued,simple_cmp,0.5233333333333333,664.68,1220.82
UMD,ued,simple_cmp,0.5972222222222222,638.87,156.06
SyntheticControl,ued,simple_cmp,0.4266666666666667,627.63,17.4
ShapeletSim,ued,simple_cmp,0.48333333333333334,658.88,501.28
Chinatown,ued,simple_cmp,0.760932944606414,604.41,49.41
ECG200,ued,cdf_cmp,0.67,609.99,25.31
TwoLeadECG,ued,cdf_cmp,0.5171202809482002,674.41,2570.92
ECGFiveDays,ued,cdf_cmp,0.4924506387921022,678.15,2255.78
ItalyPowerDemand,ued,cdf_cmp,0.5383867832847424,618.37,198.47
SonyAIBORobotSurface2,ued,cdf_cmp,0.5792235047219307,640.01,1504.11
SonyAIBORobotSurface1,ued,cdf_cmp,0.49417637271214643,626.41,679.28
Plane,ued,cdf_cmp,0.4666666666666667,610.27,22.94
Trace,ued,cdf_cmp,0.37,636.73,52.02
SmoothSubspace,ued,cdf_cmp,0.32,595.53,3.49
BME,ued,cdf_cmp,0.58,648.22,222.99
CBF,ued,cdf_cmp,0.5088888888888888,669.6,1315.87
UMD,ued,cdf_cmp,0.5069444444444444,628.99,113.22
SyntheticControl,ued,cdf_cmp,,,
ShapeletSim,ued,cdf_cmp,0.49444444444444446,646.37,459.89
Chinatown,ued,cdf_cmp,0.6064139941690962,607.83,138.39
ECG200,ued,interval_cmp,0.71,626.4,23.5
TwoLeadECG,ued,interval_cmp,0.4986830553116769,650.86,2061.48
ECGFiveDays,ued,interval_cmp,0.5354239256678281,689.38,2406.32
