dataset,distance,cmp,classifier,acc,train_duration,test_duration
Trace,dust_normal,simple_cmp,RF,0.72,654.69,50.09
SmoothSubspace,dust_normal,simple_cmp,RF,0.6533333333333333,622.53,22.74
BME,dust_normal,simple_cmp,RF,0.6733333333333333,638.73,181.57
CBF,dust_normal,simple_cmp,RF,0.8988888888888888,647.41,1087.25
UMD,dust_normal,simple_cmp,RF,0.5902777777777778,642.45,194.43
SyntheticControl,dust_normal,simple_cmp,RF,0.6233333333333333,611.29,17.61
ShapeletSim,dust_normal,simple_cmp,RF,0.45555555555555555,637.12,405.43
Chinatown,dust_normal,simple_cmp,RF,0.9475218658892128,607.51,111.79
ECG200,ued,simple_cmp,RF,0.82,632.89,25.62
TwoLeadECG,ued,simple_cmp,RF,0.7989464442493416,634.1,1692.71
ECGFiveDays,ued,simple_cmp,RF,0.8292682926829268,686.86,1960.02
ItalyPowerDemand,ued,simple_cmp,RF,0.9368318756073858,627.95,482.53
SonyAIBORobotSurface2,ued,simple_cmp,RF,0.8174186778593914,651.27,1407.96
SonyAIBORobotSurface1,ued,simple_cmp,RF,0.8985024958402662,620.7,656.4
Plane,ued,simple_cmp,RF,0.6857142857142857,625.14,50.92
Trace,ued,simple_cmp,RF,0.63,633.44,57.15
SmoothSubspace,ued,simple_cmp,RF,0.7866666666666666,627.48,34.2
BME,ued,simple_cmp,RF,0.7733333333333333,688.94,379.34
CBF,ued,simple_cmp,RF,0.9466666666666667,668.75,1314.89
UMD,ued,simple_cmp,RF,0.9583333333333334,654.03,248.04
SyntheticControl,ued,simple_cmp,RF,0.5733333333333334,627.26,36.04
ShapeletSim,ued,simple_cmp,RF,0.8944444444444445,654.69,752.16
Chinatown,ued,simple_cmp,RF,0.9825072886297376,610.43,98.5
ECG200,fots,simple_cmp,RF,0.88,7682.83,566.12
TwoLeadECG,fots,simple_cmp,RF,0.7919227392449517,7396.24,4748.26
ECGFiveDays,fots,simple_cmp,RF,0.9349593495934959,7499.97,13113.91
ItalyPowerDemand,fots,simple_cmp,RF,0.86977648202138,7239.68,592.31
SonyAIBORobotSurface2,fots,simple_cmp,RF,0.8415529905561385,7326.55,6022.82
SonyAIBORobotSurface1,fots,simple_cmp,RF,0.6439267886855241,7247.58,629.05
Plane,fots,simple_cmp,RF,0.9428571428571428,7866.37,683.61
Trace,fots,simple_cmp,RF,0.83,7431.33,742.38
SmoothSubspace,fots,simple_cmp,RF,0.62,7462.89,298.6
BME,fots,simple_cmp,RF,0.47333333333333333,7980.57,2955.86
CBF,fots,simple_cmp,RF,0.8566666666666667,7751.59,13052.47
UMD,fots,simple_cmp,RF,0.4722222222222222,7484.32,1144.77
SyntheticControl,fots,simple_cmp,RF,0.57,7723.6,524.66
ShapeletSim,fots,simple_cmp,RF,0.6,7152.24,2889.0
Chinatown,fots,simple_cmp,RF,0.8629737609329446,7214.45,224.22
