dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.79,621.02,20.24
TwoLeadECG,ued,simple_cmp,0.5636523266022827,638.34,1282.35
ECGFiveDays,ued,simple_cmp,0.6515679442508711,684.52,2174.25
ItalyPowerDemand,ued,simple_cmp,0.7764820213799806,629.46,394.97
SonyAIBORobotSurface2,ued,simple_cmp,0.7565582371458552,628.04,781.7
SonyAIBORobotSurface1,ued,simple_cmp,0.6555740432612313,626.95,443.67
Plane,ued,simple_cmp,0.8571428571428571,622.52,21.2
Trace,ued,simple_cmp,0.72,608.92,34.39
SmoothSubspace,ued,simple_cmp,0.5333333333333333,625.07,23.08
BME,ued,simple_cmp,0.58,646.62,220.89
CBF,ued,simple_cmp,0.8544444444444445,646.03,1043.09
UMD,ued,simple_cmp,0.7777777777777778,651.68,227.94
SyntheticControl,ued,simple_cmp,0.6233333333333333,618.12,27.43
ShapeletSim,ued,simple_cmp,0.5166666666666667,678.47,431.36
Chinatown,ued,simple_cmp,0.8454810495626822,607.45,73.05
ECG200,ued,cdf_cmp,0.76,609.87,17.82
TwoLeadECG,ued,cdf_cmp,0.5513608428446005,675.44,2348.4
ECGFiveDays,ued,cdf_cmp,0.5493612078977933,663.23,2000.3
ItalyPowerDemand,ued,cdf_cmp,0.8347910592808552,612.87,186.09
SonyAIBORobotSurface2,ued,cdf_cmp,0.7618048268625394,637.26,1142.56
SonyAIBORobotSurface1,ued,cdf_cmp,0.7653910149750416,630.89,658.39
Plane,ued,cdf_cmp,0.8476190476190476,614.41,30.16
Trace,ued,cdf_cmp,0.59,627.17,43.27
SmoothSubspace,ued,cdf_cmp,0.4533333333333333,598.9,4.76
BME,ued,cdf_cmp,0.48,669.63,268.73
CBF,ued,cdf_cmp,0.6011111111111112,661.79,1508.8
UMD,ued,cdf_cmp,0.8055555555555556,640.96,144.87
SyntheticControl,ued,cdf_cmp,0.38333333333333336,614.05,20.36
ShapeletSim,ued,cdf_cmp,0.5555555555555556,691.88,512.48
Chinatown,ued,cdf_cmp,0.8717201166180758,607.2,112.84
ECG200,ued,interval_cmp,0.79,616.7,20.77
TwoLeadECG,ued,interval_cmp,0.5706760316066726,650.69,1416.6
ECGFiveDays,ued,interval_cmp,0.6469221835075494,688.19,2007.08
ItalyPowerDemand,ued,interval_cmp,0.7871720116618076,624.11,373.2
SonyAIBORobotSurface2,ued,interval_cmp,0.7628541448058762,644.05,659.7
SonyAIBORobotSurface1,ued,interval_cmp,0.6788685524126455,620.39,394.84
Plane,ued,interval_cmp,0.8666666666666667,628.77,24.96
Trace,ued,interval_cmp,0.72,624.96,31.42
SmoothSubspace,ued,interval_cmp,0.5066666666666667,624.96,16.87
BME,ued,interval_cmp,0.5866666666666667,645.9,218.07
CBF,ued,interval_cmp,0.8544444444444445,660.64,1018.09
UMD,ued,interval_cmp,0.7777777777777778,641.58,190.22
SyntheticControl,ued,interval_cmp,0.6233333333333333,616.47,16.5
ShapeletSim,ued,interval_cmp,0.49444444444444446,675.97,667.97
Chinatown,ued,interval_cmp,0.8425655976676385,604.3,58.75
ECG200,dust_uniform,simple_cmp,0.79,628.03,23.07
TwoLeadECG,dust_uniform,simple_cmp,0.6435469710272168,640.78,1146.54
ECGFiveDays,dust_uniform,simple_cmp,0.627177700348432,662.59,1835.42
ItalyPowerDemand,dust_uniform,simple_cmp,0.7667638483965015,642.66,489.03
SonyAIBORobotSurface2,dust_uniform,simple_cmp,0.6453305351521511,637.94,815.98
SonyAIBORobotSurface1,dust_uniform,simple_cmp,0.6156405990016639,619.27,422.83
Plane,dust_uniform,simple_cmp,0.6666666666666666,629.0,19.6
Trace,dust_uniform,simple_cmp,0.61,626.84,39.71
SmoothSubspace,dust_uniform,simple_cmp,0.5866666666666667,619.71,26.7
BME,dust_uniform,simple_cmp,0.5066666666666667,648.85,209.98
CBF,dust_uniform,simple_cmp,0.8511111111111112,641.46,874.84
UMD,dust_uniform,simple_cmp,0.6041666666666666,621.9,82.26
SyntheticControl,dust_uniform,simple_cmp,0.5733333333333334,622.42,25.53
ShapeletSim,dust_uniform,simple_cmp,0.5333333333333333,687.22,677.4
Chinatown,dust_uniform,simple_cmp,0.8134110787172012,607.39,106.78
ECG200,dust_normal,simple_cmp,0.78,627.47,23.63
TwoLeadECG,dust_normal,simple_cmp,0.646180860403863,630.3,1041.91
ECGFiveDays,dust_normal,simple_cmp,0.6225319396051103,694.79,1942.28
ItalyPowerDemand,dust_normal,simple_cmp,0.7667638483965015,634.92,466.8
SonyAIBORobotSurface2,dust_normal,simple_cmp,0.608604407135362,640.03,817.02
SonyAIBORobotSurface1,dust_normal,simple_cmp,0.5224625623960066,626.61,400.87
Plane,dust_normal,simple_cmp,0.6571428571428571,615.72,20.48
Trace,dust_normal,simple_cmp,0.59,631.49,35.09
SmoothSubspace,dust_normal,simple_cmp,0.5533333333333333,621.45,21.89
BME,dust_normal,simple_cmp,0.6,636.07,180.42
CBF,dust_normal,simple_cmp,0.8422222222222222,671.0,1028.84
UMD,dust_normal,simple_cmp,0.5902777777777778,625.09,91.46
SyntheticControl,dust_normal,simple_cmp,0.5333333333333333,627.95,31.82
ShapeletSim,dust_normal,simple_cmp,0.5111111111111111,651.59,350.86
Chinatown,dust_normal,simple_cmp,0.7959183673469388,608.42,116.74
ECG200,ed,simple_cmp,0.76,632.76,25.34
TwoLeadECG,ed,simple_cmp,0.5627743634767339,635.43,1299.85
ECGFiveDays,ed,simple_cmp,0.6550522648083623,661.6,1665.77
ItalyPowerDemand,ed,simple_cmp,0.7638483965014577,637.42,350.72
SonyAIBORobotSurface2,ed,simple_cmp,0.7649527806925498,635.51,591.79
SonyAIBORobotSurface1,ed,simple_cmp,0.6555740432612313,620.93,397.18
Plane,ed,simple_cmp,0.8571428571428571,625.4,26.72
Trace,ed,simple_cmp,0.72,650.37,25.79
SmoothSubspace,ed,simple_cmp,0.5066666666666667,618.68,20.1
BME,ed,simple_cmp,0.5866666666666667,647.88,226.46
CBF,ed,simple_cmp,0.82,648.22,944.65
UMD,ed,simple_cmp,0.7569444444444444,648.8,168.49
SyntheticControl,ed,simple_cmp,0.67,623.61,23.96
ShapeletSim,ed,simple_cmp,0.49444444444444446,659.21,496.18
Chinatown,ed,simple_cmp,0.8163265306122449,604.48,55.8
