dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,s_ed,simple_cmp,GNB,0.8,628.31,22.83
TwoLeadECG,s_ed,simple_cmp,GNB,0.8094820017559262,646.99,933.79
ECGFiveDays,s_ed,simple_cmp,GNB,0.9384436701509872,670.82,1208.6
ItalyPowerDemand,s_ed,simple_cmp,GNB,0.9397473275024295,633.74,305.93
SonyAIBORobotSurface2,s_ed,simple_cmp,GNB,0.8195173137460651,622.02,488.81
SonyAIBORobotSurface1,s_ed,simple_cmp,GNB,0.9384359400998337,619.69,361.79
Plane,s_ed,simple_cmp,GNB,0.9428571428571428,638.31,29.53
Trace,s_ed,simple_cmp,GNB,0.94,641.68,34.36
SmoothSubspace,s_ed,simple_cmp,GNB,0.8333333333333334,623.45,21.4
BME,s_ed,simple_cmp,GNB,0.6933333333333334,644.62,188.84
CBF,s_ed,simple_cmp,GNB,0.9455555555555556,653.21,966.66
UMD,s_ed,simple_cmp,GNB,0.9583333333333334,651.62,144.14
SyntheticControl,s_ed,simple_cmp,GNB,0.7766666666666666,616.55,19.48
ShapeletSim,s_ed,simple_cmp,GNB,0.9555555555555556,653.47,323.3
Chinatown,s_ed,simple_cmp,GNB,0.9795918367346939,603.35,41.67
