dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,ued,interval_cmp,GNB,0.8,621.66,24.39
TwoLeadECG,ued,interval_cmp,GNB,0.5750658472344161,641.63,1305.57
ECGFiveDays,ued,interval_cmp,GNB,0.6492450638792102,677.92,2067.03
ItalyPowerDemand,ued,interval_cmp,GNB,0.847424684159378,634.53,444.28
SonyAIBORobotSurface2,ued,interval_cmp,GNB,0.6841552990556139,624.66,554.22
SonyAIBORobotSurface1,ued,interval_cmp,GNB,0.7088186356073212,618.48,363.18
Plane,ued,interval_cmp,GNB,0.8095238095238095,622.65,26.37
Trace,ued,interval_cmp,GNB,0.68,631.54,31.1
SmoothSubspace,ued,interval_cmp,GNB,0.6333333333333333,616.67,17.42
BME,ued,interval_cmp,GNB,0.6066666666666667,636.59,176.73
CBF,ued,interval_cmp,GNB,0.8244444444444444,649.37,986.29
UMD,ued,interval_cmp,GNB,0.8194444444444444,643.09,165.66
SyntheticControl,ued,interval_cmp,GNB,0.5866666666666667,620.98,19.9
ShapeletSim,ued,interval_cmp,GNB,0.4722222222222222,670.5,543.69
Chinatown,ued,interval_cmp,GNB,0.8250728862973761,604.68,54.71
