dataset,distance,cmp,acc,train_duration,test_duration
SonyAIBORobotSurface2,ed,simple_cmp,0.7009443861490031,627.67,493.11
SonyAIBORobotSurface1,ed,simple_cmp,0.7054908485856906,624.9,388.41
Plane,ed,simple_cmp,0.7619047619047619,628.63,25.71
Trace,ed,simple_cmp,0.62,631.06,25.04
SmoothSubspace,ed,simple_cmp,0.42,616.79,15.52
BME,ed,simple_cmp,0.5466666666666666,636.66,168.86
CBF,ed,simple_cmp,0.6822222222222222,648.35,910.92
UMD,ed,simple_cmp,0.75,639.76,175.95
SyntheticControl,ed,simple_cmp,0.59,618.63,17.5
ShapeletSim,ed,simple_cmp,0.4666666666666667,672.45,460.31
Chinatown,ed,simple_cmp,0.8483965014577259,604.04,44.58
