dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,GNB,0.71,635.37,34.86
TwoLeadECG,hellinger_based_distance,simple_cmp,GNB,0.7857769973661106,637.23,1136.17
ECGFiveDays,hellinger_based_distance,simple_cmp,GNB,0.8455284552845529,664.58,1697.93
ItalyPowerDemand,hellinger_based_distance,simple_cmp,GNB,0.8736637512147716,635.74,464.81
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,GNB,0.8058761804826863,622.33,505.46
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,GNB,0.6422628951747088,622.17,420.7
Plane,hellinger_based_distance,simple_cmp,GNB,0.9047619047619048,625.2,24.54
Trace,hellinger_based_distance,simple_cmp,GNB,0.67,643.59,45.01
SmoothSubspace,hellinger_based_distance,simple_cmp,GNB,0.68,623.22,22.45
BME,hellinger_based_distance,simple_cmp,GNB,0.66,641.43,182.66
CBF,hellinger_based_distance,simple_cmp,GNB,0.8866666666666667,646.66,907.77
UMD,hellinger_based_distance,simple_cmp,GNB,0.75,639.28,146.14
SyntheticControl,hellinger_based_distance,simple_cmp,GNB,0.6166666666666667,627.89,23.42
ShapeletSim,hellinger_based_distance,simple_cmp,GNB,0.4888888888888889,650.37,412.16
Chinatown,hellinger_based_distance,simple_cmp,GNB,0.9067055393586005,604.33,57.97
ECG200,jensen_shannon_distance,simple_cmp,GNB,0.55,91994.04,42.87
TwoLeadECG,jensen_shannon_distance,simple_cmp,GNB,0.5803336259877085,91956.17,452.79
ECGFiveDays,jensen_shannon_distance,simple_cmp,GNB,0.49709639953542395,91929.78,47.98
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,GNB,0.7162293488824101,642.33,558.03
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,GNB,0.6264428121720882,636.64,845.89
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,GNB,0.6772046589018302,626.28,510.1
Plane,jensen_shannon_distance,simple_cmp,GNB,0.34285714285714286,633.06,28.1
Trace,jensen_shannon_distance,simple_cmp,GNB,0.51,669.03,62.78
SmoothSubspace,jensen_shannon_distance,simple_cmp,GNB,0.49333333333333335,629.46,27.13
BME,jensen_shannon_distance,simple_cmp,GNB,0.46,650.28,230.4
CBF,jensen_shannon_distance,simple_cmp,GNB,0.6844444444444444,650.43,973.59
UMD,jensen_shannon_distance,simple_cmp,GNB,0.3819444444444444,654.71,202.18
SyntheticControl,jensen_shannon_distance,simple_cmp,GNB,0.32666666666666666,623.5,23.4
ShapeletSim,jensen_shannon_distance,simple_cmp,GNB,0.5333333333333333,657.14,379.09
Chinatown,jensen_shannon_distance,simple_cmp,GNB,0.8309037900874635,606.49,94.02
