dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,RF,0.82,628.51,26.99
TwoLeadECG,hellinger_based_distance,simple_cmp,RF,0.9596136962247586,641.88,1274.54
ECGFiveDays,hellinger_based_distance,simple_cmp,RF,0.8687572590011614,656.04,1496.62
ItalyPowerDemand,hellinger_based_distance,simple_cmp,RF,0.9047619047619048,631.36,427.92
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,RF,0.7964323189926548,626.69,642.53
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,RF,0.7454242928452579,623.58,524.47
Plane,hellinger_based_distance,simple_cmp,RF,0.9142857142857143,628.62,28.55
Trace,hellinger_based_distance,simple_cmp,RF,0.73,645.6,46.48
SmoothSubspace,hellinger_based_distance,simple_cmp,RF,,,
BME,hellinger_based_distance,simple_cmp,RF,0.6066666666666667,664.36,267.28
CBF,hellinger_based_distance,simple_cmp,RF,0.9422222222222222,650.59,978.17
UMD,hellinger_based_distance,simple_cmp,RF,0.6180555555555556,663.51,247.69
SyntheticControl,hellinger_based_distance,simple_cmp,RF,0.6166666666666667,611.24,18.85
ShapeletSim,hellinger_based_distance,simple_cmp,RF,0.9888888888888889,675.6,553.57
Chinatown,hellinger_based_distance,simple_cmp,RF,0.9737609329446064,603.55,39.56
ECG200,jensen_shannon_distance,simple_cmp,RF,0.55,629.47,29.81
TwoLeadECG,jensen_shannon_distance,simple_cmp,RF,0.7014925373134329,668.72,2781.37
ECGFiveDays,jensen_shannon_distance,simple_cmp,RF,0.6376306620209059,683.67,2727.74
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,RF,0.8289601554907677,647.97,695.65
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,RF,0.6610703043022036,637.33,1007.56
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,RF,0.7021630615640599,631.71,784.35
Plane,jensen_shannon_distance,simple_cmp,RF,0.22857142857142856,645.29,57.93
Trace,jensen_shannon_distance,simple_cmp,RF,0.73,657.42,64.76
SmoothSubspace,jensen_shannon_distance,simple_cmp,RF,0.6666666666666666,632.19,32.18
BME,jensen_shannon_distance,simple_cmp,RF,0.43333333333333335,681.57,404.89
CBF,jensen_shannon_distance,simple_cmp,RF,0.6244444444444445,672.5,1648.58
UMD,jensen_shannon_distance,simple_cmp,RF,0.4305555555555556,680.89,313.32
SyntheticControl,jensen_shannon_distance,simple_cmp,RF,0.33666666666666667,626.97,28.69
ShapeletSim,jensen_shannon_distance,simple_cmp,RF,0.4722222222222222,698.79,747.75
Chinatown,jensen_shannon_distance,simple_cmp,RF,0.9591836734693877,607.31,99.9
ECG200,ed,simple_cmp,RF,0.78,631.67,29.33
TwoLeadECG,ed,simple_cmp,RF,0.9885864793678666,633.34,947.95
ECGFiveDays,ed,simple_cmp,RF,0.9988385598141696,646.96,1189.79
ItalyPowerDemand,ed,simple_cmp,RF,0.9494655004859086,627.2,383.68
SonyAIBORobotSurface2,ed,simple_cmp,RF,0.8803777544596013,625.67,632.2
SonyAIBORobotSurface1,ed,simple_cmp,RF,0.9217970049916805,620.67,451.33
Plane,ed,simple_cmp,RF,1.0,628.4,32.66
Trace,ed,simple_cmp,RF,0.89,639.07,41.3
SmoothSubspace,ed,simple_cmp,RF,0.9,624.36,26.33
BME,ed,simple_cmp,RF,0.88,648.94,236.24
CBF,ed,simple_cmp,RF,0.96,646.47,977.53
UMD,ed,simple_cmp,RF,0.9791666666666666,649.42,186.49
SyntheticControl,ed,simple_cmp,RF,0.9133333333333333,620.75,23.0
ShapeletSim,ed,simple_cmp,RF,0.9833333333333333,657.39,396.38
Chinatown,ed,simple_cmp,RF,0.9795918367346939,604.0,50.32
ECG200,dust_uniform,simple_cmp,RF,0.81,632.99,34.95
TwoLeadECG,dust_uniform,simple_cmp,RF,0.9139596136962248,631.64,997.98
ECGFiveDays,dust_uniform,simple_cmp,RF,0.859465737514518,651.78,1484.99
ItalyPowerDemand,dust_uniform,simple_cmp,RF,0.9446064139941691,633.64,469.07
SonyAIBORobotSurface2,dust_uniform,simple_cmp,RF,0.7072402938090241,633.19,879.06
SonyAIBORobotSurface1,dust_uniform,simple_cmp,RF,0.6921797004991681,620.66,460.2
Plane,dust_uniform,simple_cmp,RF,0.780952380952381,628.59,26.09
Trace,dust_uniform,simple_cmp,RF,0.79,639.13,41.45
SmoothSubspace,dust_uniform,simple_cmp,RF,0.8066666666666666,628.47,28.84
BME,dust_uniform,simple_cmp,RF,0.7133333333333334,638.81,189.4
CBF,dust_uniform,simple_cmp,RF,0.9311111111111111,645.36,916.63
UMD,dust_uniform,simple_cmp,RF,0.6875,644.19,175.04
SyntheticControl,dust_uniform,simple_cmp,RF,0.6833333333333333,615.65,18.2
ShapeletSim,dust_uniform,simple_cmp,RF,0.7444444444444445,669.44,559.2
Chinatown,dust_uniform,simple_cmp,RF,0.9708454810495627,606.57,95.78
ECG200,dust_normal,simple_cmp,RF,0.8,638.7,38.93
TwoLeadECG,dust_normal,simple_cmp,RF,0.9025460930640913,630.9,948.28
ECGFiveDays,dust_normal,simple_cmp,RF,0.7955865272938444,654.66,1383.99
ItalyPowerDemand,dust_normal,simple_cmp,RF,0.9378036929057337,633.49,790.15
SonyAIBORobotSurface2,dust_normal,simple_cmp,RF,0.7103882476390346,633.95,914.22
SonyAIBORobotSurface1,dust_normal,simple_cmp,RF,0.6888519134775375,618.94,584.83
Plane,dust_normal,simple_cmp,RF,0.7904761904761904,627.69,28.15
Trace,dust_normal,simple_cmp,RF,0.74,647.67,49.76
SmoothSubspace,dust_normal,simple_cmp,RF,0.8133333333333334,627.22,27.09
BME,dust_normal,simple_cmp,RF,0.6933333333333334,639.9,190.56
