dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,GNB,0.78,620.8,24.78
TwoLeadECG,hellinger_based_distance,simple_cmp,GNB,0.9201053555750659,645.76,1427.15
ECGFiveDays,hellinger_based_distance,simple_cmp,GNB,0.8002322880371661,659.83,1536.35
ItalyPowerDemand,hellinger_based_distance,simple_cmp,GNB,0.8901846452866861,632.1,439.51
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,GNB,0.8006295907660022,633.9,804.73
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,GNB,0.6372712146422629,628.16,628.9
Plane,hellinger_based_distance,simple_cmp,GNB,0.9523809523809523,623.7,34.79
Trace,hellinger_based_distance,simple_cmp,GNB,0.76,635.02,37.16
SmoothSubspace,hellinger_based_distance,simple_cmp,GNB,,,
BME,hellinger_based_distance,simple_cmp,GNB,0.5533333333333333,654.89,302.59
CBF,hellinger_based_distance,simple_cmp,GNB,0.92,657.69,1104.17
UMD,hellinger_based_distance,simple_cmp,GNB,0.6111111111111112,678.06,289.24
SyntheticControl,hellinger_based_distance,simple_cmp,GNB,0.5733333333333334,612.6,17.92
ShapeletSim,hellinger_based_distance,simple_cmp,GNB,0.9833333333333333,669.55,570.39
Chinatown,hellinger_based_distance,simple_cmp,GNB,0.9766763848396501,604.98,56.56
ECG200,jensen_shannon_distance,simple_cmp,GNB,0.36,627.65,23.72
TwoLeadECG,jensen_shannon_distance,simple_cmp,GNB,0.6040386303775241,688.59,2442.99
ECGFiveDays,jensen_shannon_distance,simple_cmp,GNB,0.6085946573751452,683.81,12012.82
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,GNB,0.749271137026239,647.34,548.18
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,GNB,0.6873032528856243,10788.74,954.07
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,GNB,0.7803660565723793,637.44,10775.48
Plane,jensen_shannon_distance,simple_cmp,GNB,0.2571428571428571,10674.61,43.59
Trace,jensen_shannon_distance,simple_cmp,GNB,0.3,10578.1,50.36
SmoothSubspace,jensen_shannon_distance,simple_cmp,GNB,0.4533333333333333,10489.17,32.35
BME,jensen_shannon_distance,simple_cmp,GNB,0.44666666666666666,10454.13,386.45
CBF,jensen_shannon_distance,simple_cmp,GNB,0.5744444444444444,10452.81,1383.05
UMD,jensen_shannon_distance,simple_cmp,GNB,0.4444444444444444,675.91,301.79
SyntheticControl,jensen_shannon_distance,simple_cmp,GNB,0.37,623.67,25.96
ShapeletSim,jensen_shannon_distance,simple_cmp,GNB,0.4444444444444444,691.27,690.68
Chinatown,jensen_shannon_distance,simple_cmp,GNB,0.9096209912536443,606.69,99.27
