dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.78,624.61,31.08
TwoLeadECG,ued,simple_cmp,0.6575943810359964,639.48,1315.08
ECGFiveDays,ued,simple_cmp,0.6957026713124274,680.52,2026.11
ItalyPowerDemand,ued,simple_cmp,0.8843537414965986,626.88,375.64
SonyAIBORobotSurface2,ued,simple_cmp,0.7985309548793285,635.99,778.12
SonyAIBORobotSurface1,ued,simple_cmp,0.8186356073211315,623.75,427.56
Plane,ued,simple_cmp,0.8761904761904762,615.86,29.46
Trace,ued,simple_cmp,0.76,623.49,35.0
SmoothSubspace,ued,simple_cmp,0.6733333333333333,616.82,19.43
BME,ued,simple_cmp,0.6733333333333333,655.27,213.54
CBF,ued,simple_cmp,0.9188888888888889,649.61,1058.82
UMD,ued,simple_cmp,0.8819444444444444,652.45,189.47
SyntheticControl,ued,simple_cmp,0.7366666666666667,618.43,27.32
ShapeletSim,ued,simple_cmp,0.6277777777777778,688.61,687.43
Chinatown,ued,simple_cmp,0.9183673469387755,604.16,67.27
ECG200,ued,cdf_cmp,0.78,611.03,16.7
TwoLeadECG,ued,cdf_cmp,0.6180860403863038,648.43,2102.85
ECGFiveDays,ued,cdf_cmp,0.5435540069686411,693.19,1935.15
ItalyPowerDemand,ued,cdf_cmp,0.8707482993197279,611.91,180.8
SonyAIBORobotSurface2,ued,cdf_cmp,0.7869884575026233,655.65,1108.18
SonyAIBORobotSurface1,ued,cdf_cmp,0.8236272878535774,628.04,623.67
Plane,ued,cdf_cmp,0.8285714285714286,627.18,33.08
Trace,ued,cdf_cmp,0.55,610.09,34.06
SmoothSubspace,ued,cdf_cmp,0.5866666666666667,604.9,5.68
BME,ued,cdf_cmp,0.4666666666666667,652.72,267.07
CBF,ued,cdf_cmp,0.7988888888888889,651.46,1256.86
UMD,ued,cdf_cmp,0.7986111111111112,644.79,164.13
SyntheticControl,ued,cdf_cmp,0.17333333333333334,580.74,6.01
ShapeletSim,ued,cdf_cmp,0.5277777777777778,666.93,534.54
Chinatown,ued,cdf_cmp,0.8746355685131195,608.17,136.19
ECG200,ued,interval_cmp,0.78,625.04,26.62
TwoLeadECG,ued,interval_cmp,0.6374012291483757,652.97,1267.74
ECGFiveDays,ued,interval_cmp,0.6713124274099884,687.28,1842.9
ItalyPowerDemand,ued,interval_cmp,0.8775510204081632,631.48,328.44
SonyAIBORobotSurface2,ued,interval_cmp,0.7974816369359916,640.8,708.58
SonyAIBORobotSurface1,ued,interval_cmp,0.8186356073211315,624.74,412.74
Plane,ued,interval_cmp,0.8285714285714286,629.42,31.97
Trace,ued,interval_cmp,0.76,614.02,39.7
SmoothSubspace,ued,interval_cmp,0.6733333333333333,620.06,18.17
BME,ued,interval_cmp,0.5933333333333334,640.61,186.36
CBF,ued,interval_cmp,0.9188888888888889,642.17,848.83
UMD,ued,interval_cmp,0.875,648.55,170.51
SyntheticControl,ued,interval_cmp,0.7366666666666667,620.28,19.29
ShapeletSim,ued,interval_cmp,0.5944444444444444,676.31,532.91
Chinatown,ued,interval_cmp,0.9212827988338192,605.4,48.27
