dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,GNB,0.67,631.06,32.25
TwoLeadECG,hellinger_based_distance,simple_cmp,GNB,0.5970149253731343,633.18,1036.01
ECGFiveDays,hellinger_based_distance,simple_cmp,GNB,0.7526132404181185,682.79,2359.72
ItalyPowerDemand,hellinger_based_distance,simple_cmp,GNB,0.7687074829931972,634.29,473.31
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,GNB,0.7397691500524659,628.08,707.35
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,GNB,0.5324459234608985,620.66,481.42
Plane,hellinger_based_distance,simple_cmp,GNB,0.8476190476190476,621.33,22.2
Trace,hellinger_based_distance,simple_cmp,GNB,0.51,645.54,46.84
SmoothSubspace,hellinger_based_distance,simple_cmp,GNB,0.5533333333333333,625.54,25.8
BME,hellinger_based_distance,simple_cmp,GNB,0.54,641.0,196.29
CBF,hellinger_based_distance,simple_cmp,GNB,0.81,646.24,944.82
UMD,hellinger_based_distance,simple_cmp,GNB,0.6111111111111112,638.93,157.36
SyntheticControl,hellinger_based_distance,simple_cmp,GNB,0.52,614.71,18.09
ShapeletSim,hellinger_based_distance,simple_cmp,GNB,0.5166666666666667,669.3,557.7
Chinatown,hellinger_based_distance,simple_cmp,GNB,0.8104956268221575,604.97,60.33
ECG200,jensen_shannon_distance,simple_cmp,GNB,0.63,636.02,36.94
TwoLeadECG,jensen_shannon_distance,simple_cmp,GNB,0.568920105355575,638.02,1285.7
ECGFiveDays,jensen_shannon_distance,simple_cmp,GNB,0.5749128919860628,678.77,2215.47
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,GNB,0.6433430515063168,637.21,519.93
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,GNB,0.5970619097586569,640.79,1053.54
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,GNB,0.47420965058236275,625.04,578.89
Plane,jensen_shannon_distance,simple_cmp,GNB,0.20952380952380953,626.95,29.38
Trace,jensen_shannon_distance,simple_cmp,GNB,0.44,632.78,28.95
SmoothSubspace,jensen_shannon_distance,simple_cmp,GNB,0.5,625.24,25.94
BME,jensen_shannon_distance,simple_cmp,GNB,0.4066666666666667,647.24,230.37
CBF,jensen_shannon_distance,simple_cmp,GNB,0.6677777777777778,647.58,941.55
UMD,jensen_shannon_distance,simple_cmp,GNB,0.3680555555555556,666.68,257.13
SyntheticControl,jensen_shannon_distance,simple_cmp,GNB,0.29,629.23,29.32
ShapeletSim,jensen_shannon_distance,simple_cmp,GNB,0.45,665.42,482.75
Chinatown,jensen_shannon_distance,simple_cmp,GNB,0.8396501457725948,606.22,84.7
