dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.8,620.79,20.09
TwoLeadECG,ued,simple_cmp,0.6014047410008779,652.07,1356.23
ECGFiveDays,ued,simple_cmp,0.6736353077816493,672.07,1663.28
ItalyPowerDemand,ued,simple_cmp,0.892128279883382,628.8,339.23
SonyAIBORobotSurface2,ued,simple_cmp,0.7901364113326338,629.8,656.26
SonyAIBORobotSurface1,ued,simple_cmp,0.8119800332778702,619.43,434.41
Plane,ued,simple_cmp,0.9333333333333333,623.49,24.29
Trace,ued,simple_cmp,0.82,621.93,38.03
SmoothSubspace,ued,simple_cmp,0.5533333333333333,618.5,23.83
BME,ued,simple_cmp,0.6933333333333334,646.53,248.58
CBF,ued,simple_cmp,0.8233333333333334,666.49,1079.18
UMD,ued,simple_cmp,0.8472222222222222,640.28,173.78
SyntheticControl,ued,simple_cmp,0.78,620.91,24.22
ShapeletSim,ued,simple_cmp,0.6722222222222223,670.4,544.46
Chinatown,ued,simple_cmp,0.8833819241982507,604.85,84.67
ECG200,ued,cdf_cmp,0.75,606.99,15.71
TwoLeadECG,ued,cdf_cmp,0.607550482879719,648.9,1561.01
ECGFiveDays,ued,cdf_cmp,0.5632984901277585,679.54,1772.61
ItalyPowerDemand,ued,cdf_cmp,0.8610301263362488,612.88,184.15
SonyAIBORobotSurface2,ued,cdf_cmp,0.782791185729276,644.73,1117.52
SonyAIBORobotSurface1,ued,cdf_cmp,0.7454242928452579,629.18,702.63
Plane,ued,cdf_cmp,0.8761904761904762,636.37,43.23
Trace,ued,cdf_cmp,0.62,620.95,29.38
SmoothSubspace,ued,cdf_cmp,0.6133333333333333,602.32,5.56
BME,ued,cdf_cmp,0.6733333333333333,660.07,290.65
CBF,ued,cdf_cmp,0.7088888888888889,659.12,1361.02
UMD,ued,cdf_cmp,0.7430555555555556,629.73,118.81
SyntheticControl,ued,cdf_cmp,0.38666666666666666,592.03,18.19
ShapeletSim,ued,cdf_cmp,0.4888888888888889,653.53,409.5
Chinatown,ued,cdf_cmp,0.8483965014577259,609.05,139.99
ECG200,ued,interval_cmp,0.83,621.28,19.75
TwoLeadECG,ued,interval_cmp,0.5996488147497805,644.43,1363.31
ECGFiveDays,ued,interval_cmp,0.667828106852497,681.86,1895.88
ItalyPowerDemand,ued,interval_cmp,0.8862973760932945,626.77,355.55
SonyAIBORobotSurface2,ued,interval_cmp,0.7901364113326338,632.48,671.66
SonyAIBORobotSurface1,ued,interval_cmp,0.8119800332778702,631.28,483.96
Plane,ued,interval_cmp,0.9333333333333333,635.09,21.31
Trace,ued,interval_cmp,0.82,630.79,37.78
SmoothSubspace,ued,interval_cmp,0.56,622.49,20.14
BME,ued,interval_cmp,0.6933333333333334,647.74,227.97
CBF,ued,interval_cmp,0.8511111111111112,653.42,984.35
UMD,ued,interval_cmp,0.8472222222222222,639.83,168.35
SyntheticControl,ued,interval_cmp,0.7433333333333333,621.83,23.13
ShapeletSim,ued,interval_cmp,0.6722222222222223,664.64,537.62
Chinatown,ued,interval_cmp,0.8833819241982507,606.22,62.05
ECG200,dust_uniform,simple_cmp,0.77,629.11,27.83
TwoLeadECG,dust_uniform,simple_cmp,0.6637401229148375,639.53,963.0
ECGFiveDays,dust_uniform,simple_cmp,0.6957026713124274,678.88,1802.79
ItalyPowerDemand,dust_uniform,simple_cmp,0.7998056365403304,636.39,548.97
SonyAIBORobotSurface2,dust_uniform,simple_cmp,0.7282266526757608,627.07,788.09
SonyAIBORobotSurface1,dust_uniform,simple_cmp,0.5124792013311148,627.78,566.94
Plane,dust_uniform,simple_cmp,0.8,623.71,35.35
Trace,dust_uniform,simple_cmp,0.63,635.81,24.28
SmoothSubspace,dust_uniform,simple_cmp,0.6,626.33,24.65
BME,dust_uniform,simple_cmp,0.56,642.2,216.24
CBF,dust_uniform,simple_cmp,0.8666666666666667,663.19,982.61
UMD,dust_uniform,simple_cmp,0.6041666666666666,637.35,148.96
SyntheticControl,dust_uniform,simple_cmp,0.5666666666666667,611.64,13.44
ShapeletSim,dust_uniform,simple_cmp,0.5444444444444444,684.74,599.46
Chinatown,dust_uniform,simple_cmp,0.8833819241982507,608.99,105.99
ECG200,dust_normal,simple_cmp,0.79,625.68,28.92
TwoLeadECG,dust_normal,simple_cmp,0.6874451273046532,637.06,1007.18
ECGFiveDays,dust_normal,simple_cmp,0.7131242740998839,660.09,1899.02
ItalyPowerDemand,dust_normal,simple_cmp,0.7968901846452867,638.69,534.39
