dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.8,623.71,20.2
TwoLeadECG,ued,simple_cmp,0.5390693590869183,654.39,1613.98
ECGFiveDays,ued,simple_cmp,0.6236933797909407,681.77,2340.37
ItalyPowerDemand,ued,simple_cmp,0.7725947521865889,640.26,469.14
SonyAIBORobotSurface2,ued,simple_cmp,0.7303252885624344,630.94,705.27
SonyAIBORobotSurface1,ued,simple_cmp,0.7470881863560732,620.34,435.18
Plane,ued,simple_cmp,0.7714285714285715,627.19,24.69
Trace,ued,simple_cmp,0.68,630.02,26.94
SmoothSubspace,ued,simple_cmp,0.6133333333333333,623.37,21.41
BME,ued,simple_cmp,0.62,634.99,166.35
CBF,ued,simple_cmp,0.74,661.44,1079.68
UMD,ued,simple_cmp,0.8402777777777778,640.56,186.41
SyntheticControl,ued,simple_cmp,0.61,619.96,20.27
ShapeletSim,ued,simple_cmp,0.5055555555555555,667.82,535.12
Chinatown,ued,simple_cmp,0.8600583090379009,604.47,74.35
ECG200,ued,cdf_cmp,0.77,611.39,22.89
TwoLeadECG,ued,cdf_cmp,0.52414398595259,677.03,2135.15
ECGFiveDays,ued,cdf_cmp,0.6190476190476191,702.13,2397.74
ItalyPowerDemand,ued,cdf_cmp,0.793974732750243,619.13,232.27
SonyAIBORobotSurface2,ued,cdf_cmp,0.7471143756558237,637.91,1131.34
SonyAIBORobotSurface1,ued,cdf_cmp,0.718801996672213,625.59,774.39
Plane,ued,cdf_cmp,0.6285714285714286,608.6,20.94
Trace,ued,cdf_cmp,0.42,604.7,23.08
SmoothSubspace,ued,cdf_cmp,0.5533333333333333,599.93,5.24
BME,ued,cdf_cmp,0.6133333333333333,654.79,244.99
CBF,ued,cdf_cmp,0.6422222222222222,667.13,1198.15
UMD,ued,cdf_cmp,0.6527777777777778,639.92,172.38
SyntheticControl,ued,cdf_cmp,,,
ShapeletSim,ued,cdf_cmp,0.4666666666666667,703.68,696.35
Chinatown,ued,cdf_cmp,0.7259475218658892,606.18,117.15
ECG200,ued,interval_cmp,0.8,623.38,24.6
TwoLeadECG,ued,interval_cmp,0.5355575065847235,640.31,1346.89
ECGFiveDays,ued,interval_cmp,0.6260162601626016,680.3,2009.58
ItalyPowerDemand,ued,interval_cmp,0.7619047619047619,641.65,497.66
SonyAIBORobotSurface2,ued,interval_cmp,0.7334732423924449,629.38,554.26
SonyAIBORobotSurface1,ued,interval_cmp,0.7470881863560732,623.54,381.27
Plane,ued,interval_cmp,0.7142857142857143,609.67,17.22
Trace,ued,interval_cmp,0.68,636.59,42.75
SmoothSubspace,ued,interval_cmp,0.6133333333333333,618.42,13.99
BME,ued,interval_cmp,0.64,639.8,180.54
CBF,ued,interval_cmp,0.7444444444444445,651.52,866.8
UMD,ued,interval_cmp,0.8402777777777778,639.01,152.15
SyntheticControl,ued,interval_cmp,0.6133333333333333,614.09,14.04
ShapeletSim,ued,interval_cmp,0.5111111111111111,664.91,456.5
Chinatown,ued,interval_cmp,0.8862973760932945,604.02,45.49
