dataset,distance,cmp,acc,train_duration,test_duration
ECG200,ued,simple_cmp,0.75,622.83,23.83
TwoLeadECG,ued,simple_cmp,0.5171202809482002,668.48,1829.18
ECGFiveDays,ued,simple_cmp,0.5981416957026713,702.02,2553.34
ItalyPowerDemand,ued,simple_cmp,0.7298347910592808,635.1,527.57
SonyAIBORobotSurface2,ued,simple_cmp,0.6379853095487933,629.96,750.4
SonyAIBORobotSurface1,ued,simple_cmp,0.5424292845257903,625.48,520.33
Plane,ued,simple_cmp,0.6095238095238096,625.32,20.64
Trace,ued,simple_cmp,0.5,633.05,35.33
SmoothSubspace,ued,simple_cmp,0.5666666666666667,621.28,20.01
BME,ued,simple_cmp,0.48,651.4,243.29
CBF,ued,simple_cmp,0.6366666666666667,662.99,1245.11
UMD,ued,simple_cmp,0.7361111111111112,641.58,158.57
SyntheticControl,ued,simple_cmp,0.48,626.41,25.62
ShapeletSim,ued,simple_cmp,0.5055555555555555,643.24,336.01
Chinatown,ued,simple_cmp,0.749271137026239,604.34,64.37
ECG200,ued,cdf_cmp,0.68,614.7,17.54
TwoLeadECG,ued,cdf_cmp,0.5074626865671642,661.42,2218.25
ECGFiveDays,ued,cdf_cmp,0.5261324041811847,689.37,2317.36
ItalyPowerDemand,ued,cdf_cmp,0.7366375121477162,613.88,197.85
SonyAIBORobotSurface2,ued,cdf_cmp,0.6180482686253935,651.58,1405.38
SonyAIBORobotSurface1,ued,cdf_cmp,0.5690515806988353,625.97,750.63
Plane,ued,cdf_cmp,0.5238095238095238,612.5,17.86
Trace,ued,cdf_cmp,0.36,611.33,40.76
SmoothSubspace,ued,cdf_cmp,0.5266666666666666,597.29,3.66
BME,ued,cdf_cmp,0.5666666666666667,639.95,197.28
CBF,ued,cdf_cmp,0.6211111111111111,675.42,1520.82
UMD,ued,cdf_cmp,0.5694444444444444,626.35,138.02
SyntheticControl,ued,cdf_cmp,,,
ShapeletSim,ued,cdf_cmp,0.48333333333333334,655.86,459.29
Chinatown,ued,cdf_cmp,0.6559766763848397,606.76,105.46
ECG200,ued,interval_cmp,0.79,634.54,33.1
TwoLeadECG,ued,interval_cmp,0.514486391571554,647.51,1712.33
ECGFiveDays,ued,interval_cmp,0.5818815331010453,671.13,2138.58
ItalyPowerDemand,ued,interval_cmp,0.7269193391642371,638.05,486.95
SonyAIBORobotSurface2,ued,interval_cmp,0.6442812172088143,639.07,736.02
SonyAIBORobotSurface1,ued,interval_cmp,0.5490848585690515,620.33,460.84
Plane,ued,interval_cmp,0.638095238095238,627.03,21.73
Trace,ued,interval_cmp,0.5,636.05,27.27
SmoothSubspace,ued,interval_cmp,0.5733333333333334,614.64,14.91
BME,ued,interval_cmp,0.52,651.4,221.4
CBF,ued,interval_cmp,0.63,655.35,941.19
UMD,ued,interval_cmp,0.7291666666666666,644.19,156.82
SyntheticControl,ued,interval_cmp,0.4666666666666667,610.39,14.54
ShapeletSim,ued,interval_cmp,0.4888888888888889,646.9,404.82
Chinatown,ued,interval_cmp,0.749271137026239,604.07,47.79
