dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,GNB,0.68,626.79,27.62
TwoLeadECG,hellinger_based_distance,simple_cmp,GNB,0.5785776997366111,642.05,1232.02
ECGFiveDays,hellinger_based_distance,simple_cmp,GNB,0.5934959349593496,677.78,2178.83
ItalyPowerDemand,hellinger_based_distance,simple_cmp,GNB,0.6355685131195336,632.53,448.97
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,GNB,0.459601259181532,628.19,644.22
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,GNB,0.4908485856905158,630.08,695.0
Plane,hellinger_based_distance,simple_cmp,GNB,0.6285714285714286,618.95,22.14
Trace,hellinger_based_distance,simple_cmp,GNB,0.39,655.81,49.09
SmoothSubspace,hellinger_based_distance,simple_cmp,GNB,0.4266666666666667,623.4,23.2
BME,hellinger_based_distance,simple_cmp,GNB,0.5,641.89,200.41
CBF,hellinger_based_distance,simple_cmp,GNB,0.6366666666666667,655.41,1122.27
UMD,hellinger_based_distance,simple_cmp,GNB,0.5138888888888888,644.97,161.01
SyntheticControl,hellinger_based_distance,simple_cmp,GNB,0.36,613.67,13.86
ShapeletSim,hellinger_based_distance,simple_cmp,GNB,0.5222222222222223,674.48,534.38
Chinatown,hellinger_based_distance,simple_cmp,GNB,0.7376093294460642,605.76,83.96
ECG200,jensen_shannon_distance,simple_cmp,GNB,0.63,636.58,37.02
TwoLeadECG,jensen_shannon_distance,simple_cmp,GNB,0.5636523266022827,638.98,1327.76
ECGFiveDays,jensen_shannon_distance,simple_cmp,GNB,0.5516840882694541,689.56,2396.09
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,GNB,0.5928085519922255,646.6,549.42
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,GNB,0.5477439664218258,634.71,930.65
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,GNB,0.4442595673876872,618.01,399.62
Plane,jensen_shannon_distance,simple_cmp,GNB,0.3238095238095238,617.87,22.11
Trace,jensen_shannon_distance,simple_cmp,GNB,0.48,640.71,34.33
SmoothSubspace,jensen_shannon_distance,simple_cmp,GNB,0.44,618.8,19.85
BME,jensen_shannon_distance,simple_cmp,GNB,0.37333333333333335,665.4,312.7
CBF,jensen_shannon_distance,simple_cmp,GNB,0.5966666666666667,662.22,1291.21
UMD,jensen_shannon_distance,simple_cmp,GNB,0.3680555555555556,652.53,197.28
SyntheticControl,jensen_shannon_distance,simple_cmp,GNB,0.22333333333333333,612.43,14.0
ShapeletSim,jensen_shannon_distance,simple_cmp,GNB,0.4444444444444444,660.24,420.87
Chinatown,jensen_shannon_distance,simple_cmp,GNB,0.6763848396501457,605.24,71.35
