dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,RF,0.7,634.62,35.01
TwoLeadECG,hellinger_based_distance,simple_cmp,RF,0.6128182616330115,642.65,1486.53
ECGFiveDays,hellinger_based_distance,simple_cmp,RF,0.6074332171893148,671.74,2430.97
ItalyPowerDemand,hellinger_based_distance,simple_cmp,RF,0.7133138969873664,641.21,507.44
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,RF,0.6285414480587618,640.19,1155.97
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,RF,0.4492512479201331,639.37,752.81
Plane,hellinger_based_distance,simple_cmp,RF,0.5142857142857142,628.13,32.85
Trace,hellinger_based_distance,simple_cmp,RF,0.52,637.31,33.39
SmoothSubspace,hellinger_based_distance,simple_cmp,RF,0.5266666666666666,629.84,29.33
BME,hellinger_based_distance,simple_cmp,RF,0.5,640.35,227.72
CBF,hellinger_based_distance,simple_cmp,RF,0.7277777777777777,649.53,1384.62
UMD,hellinger_based_distance,simple_cmp,RF,0.5,636.89,142.19
SyntheticControl,hellinger_based_distance,simple_cmp,RF,0.44333333333333336,625.47,24.55
ShapeletSim,hellinger_based_distance,simple_cmp,RF,0.48333333333333334,701.27,684.1
Chinatown,hellinger_based_distance,simple_cmp,RF,0.7463556851311953,609.2,113.97
ECG200,jensen_shannon_distance,simple_cmp,RF,0.61,659.37,55.61
TwoLeadECG,jensen_shannon_distance,simple_cmp,RF,0.5970149253731343,644.0,1738.23
ECGFiveDays,jensen_shannon_distance,simple_cmp,RF,0.5911730545876888,674.51,2003.77
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,RF,0.7113702623906706,643.18,486.59
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,RF,0.5613850996852047,642.6,1126.76
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,RF,0.46921797004991683,635.27,717.63
Plane,jensen_shannon_distance,simple_cmp,RF,0.23809523809523808,634.4,27.38
Trace,jensen_shannon_distance,simple_cmp,RF,0.42,637.81,39.53
SmoothSubspace,jensen_shannon_distance,simple_cmp,RF,0.4666666666666667,639.16,38.02
BME,jensen_shannon_distance,simple_cmp,RF,0.43333333333333335,669.3,361.05
CBF,jensen_shannon_distance,simple_cmp,RF,0.6744444444444444,667.2,1372.43
UMD,jensen_shannon_distance,simple_cmp,RF,0.3680555555555556,643.01,189.03
SyntheticControl,jensen_shannon_distance,simple_cmp,RF,0.21666666666666667,616.59,16.03
ShapeletSim,jensen_shannon_distance,simple_cmp,RF,0.4722222222222222,641.83,254.8
Chinatown,jensen_shannon_distance,simple_cmp,RF,0.7201166180758017,610.78,117.16
ECG200,ed,simple_cmp,RF,0.76,621.42,32.24
TwoLeadECG,ed,simple_cmp,RF,0.5539947322212467,669.73,2376.24
ECGFiveDays,ed,simple_cmp,RF,0.670150987224158,694.97,2621.9
ItalyPowerDemand,ed,simple_cmp,RF,0.7677356656948494,640.65,531.65
SonyAIBORobotSurface2,ed,simple_cmp,RF,0.6778593913955928,637.29,822.66
SonyAIBORobotSurface1,ed,simple_cmp,RF,0.6173044925124792,625.35,459.58
Plane,ed,simple_cmp,RF,0.580952380952381,625.31,20.16
Trace,ed,simple_cmp,RF,0.43,621.0,36.84
SmoothSubspace,ed,simple_cmp,RF,0.56,620.84,20.59
BME,ed,simple_cmp,RF,0.5466666666666666,646.38,237.27
CBF,ed,simple_cmp,RF,0.7622222222222222,660.01,1408.33
UMD,ed,simple_cmp,RF,0.75,631.79,127.83
SyntheticControl,ed,simple_cmp,RF,0.5033333333333333,612.18,10.53
ShapeletSim,ed,simple_cmp,RF,0.4888888888888889,671.49,536.21
Chinatown,ed,simple_cmp,RF,0.7871720116618076,605.41,68.84
ECG200,dust_uniform,simple_cmp,RF,0.65,660.34,51.15
TwoLeadECG,dust_uniform,simple_cmp,RF,0.6128182616330115,655.61,1646.24
ECGFiveDays,dust_uniform,simple_cmp,RF,0.5795586527293844,685.14,4118.35
ItalyPowerDemand,dust_uniform,simple_cmp,RF,0.7434402332361516,630.15,473.44
SonyAIBORobotSurface2,dust_uniform,simple_cmp,RF,0.6295907660020986,641.36,1119.46
SonyAIBORobotSurface1,dust_uniform,simple_cmp,RF,0.47420965058236275,641.09,899.89
Plane,dust_uniform,simple_cmp,RF,0.5047619047619047,626.54,24.76
Trace,dust_uniform,simple_cmp,RF,0.61,646.04,43.57
SmoothSubspace,dust_uniform,simple_cmp,RF,0.46,616.43,18.57
BME,dust_uniform,simple_cmp,RF,0.5,647.53,304.96
CBF,dust_uniform,simple_cmp,RF,0.8077777777777778,657.27,1231.35
UMD,dust_uniform,simple_cmp,RF,0.5486111111111112,646.26,171.08
SyntheticControl,dust_uniform,simple_cmp,RF,0.3466666666666667,637.4,29.7
ShapeletSim,dust_uniform,simple_cmp,RF,0.45555555555555555,665.88,564.22
Chinatown,dust_uniform,simple_cmp,RF,0.7259475218658892,611.89,165.57
ECG200,dust_normal,simple_cmp,RF,0.67,648.49,37.04
TwoLeadECG,dust_normal,simple_cmp,RF,0.630377524143986,638.88,1401.85
ECGFiveDays,dust_normal,simple_cmp,RF,0.5772357723577236,670.92,1812.48
ItalyPowerDemand,dust_normal,simple_cmp,RF,0.673469387755102,640.45,600.06
SonyAIBORobotSurface2,dust_normal,simple_cmp,RF,0.5991605456453305,643.33,1211.95
SonyAIBORobotSurface1,dust_normal,simple_cmp,RF,0.4525790349417637,665.99,1916.86
Plane,dust_normal,simple_cmp,RF,0.41904761904761906,612.21,18.12
Trace,dust_normal,simple_cmp,RF,0.52,620.45,30.9
SmoothSubspace,dust_normal,simple_cmp,RF,0.4066666666666667,621.83,21.43
BME,dust_normal,simple_cmp,RF,0.5,655.71,233.85
CBF,dust_normal,simple_cmp,RF,0.7222222222222222,645.89,1222.53
UMD,dust_normal,simple_cmp,RF,0.5694444444444444,654.85,176.5
SyntheticControl,dust_normal,simple_cmp,RF,0.37,619.92,20.19
ShapeletSim,dust_normal,simple_cmp,RF,0.4888888888888889,664.9,439.99
Chinatown,dust_normal,simple_cmp,RF,0.7230320699708455,610.58,166.9
ECG200,ued,simple_cmp,RF,0.73,625.93,24.24
TwoLeadECG,ued,simple_cmp,RF,0.5311676909569798,670.58,3735.01
ECGFiveDays,ued,simple_cmp,RF,0.5679442508710801,692.07,1940.0
ItalyPowerDemand,ued,simple_cmp,RF,0.7648202137998056,634.17,669.73
SonyAIBORobotSurface2,ued,simple_cmp,RF,0.6379853095487933,669.98,2167.16
SonyAIBORobotSurface1,ued,simple_cmp,RF,0.6422628951747088,622.18,815.26
Plane,ued,simple_cmp,RF,0.5714285714285714,612.22,36.77
Trace,ued,simple_cmp,RF,0.59,647.14,74.67
SmoothSubspace,ued,simple_cmp,RF,0.5133333333333333,624.42,26.4
BME,ued,simple_cmp,RF,0.5133333333333333,658.98,351.66
CBF,ued,simple_cmp,RF,0.6744444444444444,686.42,2070.3
UMD,ued,simple_cmp,RF,0.6736111111111112,643.42,172.24
SyntheticControl,ued,simple_cmp,RF,0.37,617.42,24.26
ShapeletSim,ued,simple_cmp,RF,0.5444444444444444,658.67,898.44
Chinatown,ued,simple_cmp,RF,0.8046647230320699,610.41,170.71
ECG200,fots,simple_cmp,RF,0.74,7560.19,418.24
TwoLeadECG,fots,simple_cmp,RF,0.6101843722563652,7368.37,5280.35
ECGFiveDays,fots,simple_cmp,RF,0.5807200929152149,7537.06,13249.72
ItalyPowerDemand,fots,simple_cmp,RF,0.5364431486880467,7248.0,685.34
SonyAIBORobotSurface2,fots,simple_cmp,RF,0.602308499475341,7350.76,6685.7
SonyAIBORobotSurface1,fots,simple_cmp,RF,0.47254575707154745,7237.5,698.03
Plane,fots,simple_cmp,RF,0.638095238095238,7490.01,429.16
Trace,fots,simple_cmp,RF,0.47,7637.42,771.17
SmoothSubspace,fots,simple_cmp,RF,0.42,7373.76,167.08
BME,fots,simple_cmp,RF,0.4,7782.21,2343.88
CBF,fots,simple_cmp,RF,0.4922222222222222,7650.25,12322.05
UMD,fots,simple_cmp,RF,0.2708333333333333,7525.61,1305.63
SyntheticControl,fots,simple_cmp,RF,0.4066666666666667,7354.58,150.85
ShapeletSim,fots,simple_cmp,RF,0.5,7392.09,3985.18
Chinatown,fots,simple_cmp,RF,0.5160349854227405,7216.13,201.85
