dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,hellinger_based_distance,simple_cmp,RF,0.75,633.88,27.91
TwoLeadECG,hellinger_based_distance,simple_cmp,RF,0.655838454784899,643.92,1485.08
ECGFiveDays,hellinger_based_distance,simple_cmp,RF,0.6190476190476191,710.6,3064.58
ItalyPowerDemand,hellinger_based_distance,simple_cmp,RF,0.7793974732750243,633.03,489.83
SonyAIBORobotSurface2,hellinger_based_distance,simple_cmp,RF,0.5970619097586569,639.93,950.97
SonyAIBORobotSurface1,hellinger_based_distance,simple_cmp,RF,0.5790349417637272,628.11,650.6
Plane,hellinger_based_distance,simple_cmp,RF,0.7333333333333333,617.84,17.26
Trace,hellinger_based_distance,simple_cmp,RF,0.5,626.23,24.87
SmoothSubspace,hellinger_based_distance,simple_cmp,RF,0.5,625.3,24.46
BME,hellinger_based_distance,simple_cmp,RF,0.6133333333333333,644.69,231.8
CBF,hellinger_based_distance,simple_cmp,RF,0.7588888888888888,657.45,1219.42
UMD,hellinger_based_distance,simple_cmp,RF,0.5763888888888888,628.36,94.92
SyntheticControl,hellinger_based_distance,simple_cmp,RF,0.5066666666666667,622.29,20.01
ShapeletSim,hellinger_based_distance,simple_cmp,RF,0.5222222222222223,682.03,695.24
Chinatown,hellinger_based_distance,simple_cmp,RF,0.7871720116618076,606.11,69.37
ECG200,jensen_shannon_distance,simple_cmp,RF,0.64,635.06,39.09
TwoLeadECG,jensen_shannon_distance,simple_cmp,RF,0.597892888498683,641.51,1403.39
ECGFiveDays,jensen_shannon_distance,simple_cmp,RF,0.5725900116144018,679.84,2071.52
ItalyPowerDemand,jensen_shannon_distance,simple_cmp,RF,0.7551020408163265,640.32,497.53
SonyAIBORobotSurface2,jensen_shannon_distance,simple_cmp,RF,0.5918153200419727,648.13,1275.71
SonyAIBORobotSurface1,jensen_shannon_distance,simple_cmp,RF,0.46589018302828616,626.04,539.01
Plane,jensen_shannon_distance,simple_cmp,RF,0.1523809523809524,622.16,20.89
Trace,jensen_shannon_distance,simple_cmp,RF,0.51,631.18,39.55
SmoothSubspace,jensen_shannon_distance,simple_cmp,RF,0.5466666666666666,627.03,26.29
BME,jensen_shannon_distance,simple_cmp,RF,0.35333333333333333,649.5,270.44
CBF,jensen_shannon_distance,simple_cmp,RF,0.7733333333333333,669.16,1445.54
UMD,jensen_shannon_distance,simple_cmp,RF,0.4027777777777778,660.58,238.57
SyntheticControl,jensen_shannon_distance,simple_cmp,RF,0.2633333333333333,624.24,17.68
ShapeletSim,jensen_shannon_distance,simple_cmp,RF,0.5,645.43,356.91
Chinatown,jensen_shannon_distance,simple_cmp,RF,0.8163265306122449,608.54,116.79
ECG200,ed,simple_cmp,RF,0.79,629.94,30.41
TwoLeadECG,ed,simple_cmp,RF,0.5583845478489904,651.28,1717.3
ECGFiveDays,ed,simple_cmp,RF,0.6434378629500581,682.64,2398.86
ItalyPowerDemand,ed,simple_cmp,RF,0.8386783284742468,633.86,478.33
SonyAIBORobotSurface2,ed,simple_cmp,RF,0.7219307450157397,634.73,708.67
SonyAIBORobotSurface1,ed,simple_cmp,RF,0.7354409317803661,626.46,489.72
Plane,ed,simple_cmp,RF,0.7428571428571429,617.05,19.55
Trace,ed,simple_cmp,RF,0.67,636.58,34.51
SmoothSubspace,ed,simple_cmp,RF,0.6266666666666667,616.33,17.76
BME,ed,simple_cmp,RF,0.6333333333333333,642.68,210.9
CBF,ed,simple_cmp,RF,0.8566666666666667,654.7,1101.15
UMD,ed,simple_cmp,RF,0.7638888888888888,663.56,215.45
SyntheticControl,ed,simple_cmp,RF,0.5633333333333334,617.16,13.55
