dataset,distance,cmp,classifier,acc,train_duration,test_duration
ECG200,s_ed,simple_cmp,GNB,0.77,626.62,26.19
TwoLeadECG,s_ed,simple_cmp,GNB,0.514486391571554,652.82,1321.4
ECGFiveDays,s_ed,simple_cmp,GNB,0.6666666666666666,672.28,1459.56
ItalyPowerDemand,s_ed,simple_cmp,GNB,0.7541302235179786,635.18,306.4
SonyAIBORobotSurface2,s_ed,simple_cmp,GNB,0.6736621196222455,631.16,537.69
SonyAIBORobotSurface1,s_ed,simple_cmp,GNB,0.6589018302828619,625.38,394.66
Plane,s_ed,simple_cmp,GNB,0.6761904761904762,625.24,21.23
Trace,s_ed,simple_cmp,GNB,0.52,612.2,21.66
SmoothSubspace,s_ed,simple_cmp,GNB,0.5733333333333334,623.18,22.53
BME,s_ed,simple_cmp,GNB,0.56,650.64,172.54
CBF,s_ed,simple_cmp,GNB,0.7777777777777778,651.46,806.81
UMD,s_ed,simple_cmp,GNB,0.6944444444444444,658.31,158.63
SyntheticControl,s_ed,simple_cmp,GNB,0.5433333333333333,618.45,18.53
ShapeletSim,s_ed,simple_cmp,GNB,0.5222222222222223,672.34,372.55
Chinatown,s_ed,simple_cmp,GNB,0.8075801749271136,604.27,59.14
